Temperatura,Humedad,HumedadTerre,Luminosidad,PH,VelociViento
23,53,5,67,5,22
38,36,84,27,5,9
20,95,36,98,5,19
18,43,10,9,6,25
24,81,60,68,5,4
31,87,50,0,4,9
37,37,18,20,5,25
25,99,76,54,7,23
39,35,77,30,5,3
38,68,91,56,6,14
20,63,44,39,5,7
21,99,81,7,7,3
35,60,13,14,4,1
20,82,62,18,7,14
24,37,35,43,5,18
35,32,62,17,5,28
27,88,98,2,4,10
15,48,84,7,6,22
37,62,17,9,7,1
36,75,64,11,4,7
24,38,89,19,6,26
36,49,15,48,7,16
22,86,11,27,7,28
40,58,56,38,6,26
33,79,93,87,6,29
42,69,15,6,5,16
39,48,41,10,5,11
37,45,90,76,6,2
16,52,48,22,7,4
38,38,21,19,5,4
16,66,43,0,5,25
23,45,6,6,5,26
33,80,31,61,5,25
21,66,21,57,7,3
26,57,99,4,4,23
27,65,56,63,7,23
39,59,70,37,6,16
21,37,5,36,7,13
35,36,24,30,7,26
17,88,34,75,4,28
43,82,49,47,5,23
33,35,31,73,4,18
30,80,22,61,5,16
16,96,56,8,5,10
17,63,55,96,7,27
35,34,98,35,7,12
41,89,32,44,7,18
23,70,98,54,7,10
34,88,34,64,5,24
20,45,14,93,4,2
19,57,96,32,4,29
43,36,94,73,6,8
43,83,37,56,6,28
24,44,47,75,4,15
29,89,99,88,4,23
40,80,47,2,5,1
38,86,79,6,5,14
27,33,19,95,5,21
19,94,77,26,5,4
36,95,10,57,7,14
23,41,60,16,6,19
27,80,26,32,7,1
19,86,72,42,4,10
33,85,99,55,4,4
27,88,41,52,6,7
36,98,95,23,4,20
44,99,3,47,7,24
27,30,51,95,7,20
30,39,25,83,5,28
37,32,98,16,7,16
35,56,54,46,4,29
19,96,54,18,7,2
42,52,99,47,6,3
38,66,25,19,6,18
34,50,82,80,4,7
37,49,51,32,4,24
43,92,60,37,6,5
33,72,84,31,5,8
37,48,70,53,4,6
27,66,9,27,4,0
21,33,64,84,5,23
43,68,43,30,4,26
26,87,24,4,6,17
43,61,41,54,4,12
17,45,61,75,7,21
26,52,4,60,6,17
18,76,13,93,5,4
24,98,29,11,6,22
37,65,92,5,6,4
31,31,57,92,7,18
39,44,6,71,7,2
40,68,45,81,4,18
38,96,82,50,5,23
41,60,92,76,6,10
19,41,63,84,7,25
17,63,82,31,4,12
41,91,83,64,7,25
33,39,76,72,5,3
44,70,30,33,6,13
26,44,9,11,6,25
21,56,4,71,5,24
16,83,75,35,7,2
33,33,86,52,5,22
31,52,5,38,7,10
33,82,51,24,7,19
38,81,70,89,6,9
36,77,91,70,7,16
44,64,26,90,4,1
34,75,7,91,6,7
40,73,78,28,5,8
19,64,47,20,5,25
19,30,61,83,7,5
19,94,85,47,4,26
22,92,33,10,5,0
23,76,34,45,5,7
24,82,83,46,6,3
41,52,63,97,6,15
34,76,92,53,6,28
26,82,91,31,6,1
40,56,51,41,5,6
38,55,25,85,5,2
35,92,46,9,5,27
37,41,3,85,5,9
24,58,25,26,4,7
44,86,43,42,6,0
38,60,74,31,6,16
40,87,43,54,6,3
40,77,33,88,4,14
43,86,29,23,5,16
20,30,67,36,5,13
31,92,85,43,7,29
29,62,30,21,4,24
34,62,58,56,5,6
17,48,92,27,6,5
34,65,3,3,7,23
26,79,11,93,7,24
28,95,3,12,5,8
37,47,50,94,5,21
34,37,22,16,7,28
34,43,51,28,5,19
43,58,54,52,5,10
24,36,23,96,5,20
16,74,70,10,5,13
35,58,91,42,5,4
44,81,9,22,5,23
41,78,92,69,4,25
26,59,32,47,6,16
17,44,25,97,6,8
20,83,83,5,7,3
29,68,97,42,5,25
18,52,44,92,4,12
16,61,66,10,7,0
29,86,8,31,7,2
20,55,6,78,5,16
17,50,46,29,4,2
24,74,64,40,6,10
16,37,10,19,7,24
27,85,85,20,7,19
35,95,83,83,4,8
20,92,2,8,4,3
39,55,43,28,4,22
25,35,64,54,7,24
26,60,32,32,5,13
30,50,14,83,6,14
34,32,94,10,6,27
35,94,4,75,6,17
33,80,13,56,7,9
39,93,79,3,6,29
27,31,97,50,4,12
19,47,29,19,5,13
20,65,55,58,5,22
28,42,93,56,4,26
18,77,62,46,7,8
20,51,99,23,7,11
33,90,97,64,5,15
24,80,6,41,5,26
30,48,69,39,5,4
43,68,78,94,6,29
22,50,48,75,7,0
26,46,69,44,4,1
41,98,75,42,6,5
19,97,74,22,6,14
43,94,9,32,5,0
38,56,54,96,7,16
20,96,57,52,5,27
41,79,10,11,7,8
36,40,72,8,4,7
44,66,66,99,6,5
37,65,68,25,7,22
39,91,58,42,5,1
20,34,40,87,4,25
19,76,36,13,7,23
16,73,37,43,6,4
44,87,76,4,4,17
27,66,67,61,6,28
21,49,34,76,4,26
28,59,6,4,6,0
31,43,88,32,5,23
20,76,67,1,5,11
34,75,45,71,6,17
44,52,39,83,7,10
34,39,5,82,6,7
25,73,7,24,6,28
19,98,89,9,6,21
22,83,33,48,6,2
35,35,63,90,7,7
27,73,13,63,7,16
26,35,28,10,7,11
33,86,95,49,6,23
43,43,84,45,5,6
40,57,60,6,5,27
18,90,63,31,7,3
27,30,92,24,6,22
22,88,56,13,5,23
41,37,38,15,7,18
44,67,93,84,5,7
36,72,88,60,6,26
21,86,21,42,5,25
26,44,9,91,6,12
40,94,24,80,7,3
25,41,50,91,4,27
19,44,34,89,4,12
24,90,3,69,4,28
41,91,12,90,5,25
26,75,33,37,4,3
38,75,15,7,5,3
35,58,42,14,4,27
29,30,72,93,6,19
24,31,67,42,6,19
41,44,77,62,4,6
35,52,58,38,4,13
27,77,34,14,4,28
34,90,1,23,4,29
40,95,23,43,7,22
33,36,63,42,7,12
23,95,84,77,5,28
20,91,17,88,6,3
35,69,49,23,7,13
24,88,70,64,6,25
35,69,12,90,6,4
28,59,43,44,4,19
44,81,57,75,4,17
39,33,81,75,7,11
30,41,2,18,6,15
31,82,38,98,5,8
32,66,66,71,7,1
42,59,85,72,7,20
24,59,39,17,4,8
17,91,82,23,4,13
34,92,78,61,7,14
39,43,9,80,4,11
25,91,52,37,6,12
39,95,53,6,6,29
35,68,32,26,7,22
23,85,2,98,7,14
20,31,98,18,7,0
18,79,62,62,7,13
27,75,84,22,6,6
38,81,31,80,5,8
30,71,7,8,6,10
24,62,32,90,7,6
18,85,33,16,7,29
21,83,10,17,5,18
17,96,66,62,4,5
27,66,54,48,7,3
43,77,80,5,5,18
28,92,99,56,7,3
20,95,84,0,7,10
34,89,23,16,7,21
24,90,77,91,5,7
37,97,41,94,4,12
26,52,79,67,7,15
39,99,21,78,4,11
16,58,40,5,5,11
16,83,95,69,7,19
31,72,34,43,7,23
21,62,17,64,5,29
20,34,84,17,7,18
29,78,5,75,5,3
21,90,74,12,5,23
41,76,15,11,4,26
44,56,85,14,5,8
41,85,84,99,6,13
17,62,21,20,6,19
18,68,88,33,7,25
42,68,44,83,4,25
15,74,76,3,6,24
16,42,45,6,6,9
39,91,84,8,4,28
33,62,97,97,6,23
39,44,7,20,6,20
26,46,38,59,4,8
28,43,91,30,7,26
35,96,38,84,5,22
20,37,21,18,6,5
23,69,88,62,5,1
19,33,2,26,5,27
32,32,7,36,5,21
42,58,39,27,4,21
19,97,51,66,5,12
40,82,62,37,4,2
35,72,90,45,5,1
36,97,23,82,7,16
27,79,66,57,7,25
36,56,97,67,5,27
17,75,18,91,7,24
28,61,50,5,4,2
24,57,34,51,6,26
18,34,56,28,6,21
19,59,94,19,7,16
28,67,73,32,6,5
41,99,47,66,5,25
15,69,40,75,4,15
16,96,79,46,7,21
26,59,12,70,5,29
36,63,70,60,7,5
41,62,4,96,4,10
28,98,84,9,6,19
19,44,38,20,6,20
37,30,48,33,7,20
29,84,28,96,6,2
23,30,63,43,6,9
40,97,71,34,4,7
33,87,52,35,4,8
35,97,85,77,4,7
38,85,9,99,6,25
34,91,45,43,4,6
16,84,22,4,4,22
33,59,4,57,7,26
31,37,26,54,4,3
28,72,98,37,4,0
17,82,49,72,5,24
26,49,16,61,7,2
24,33,28,48,5,3
44,33,77,20,6,16
32,83,52,69,7,21
39,40,54,83,5,11
37,76,19,8,6,13
43,99,42,40,4,4
27,60,90,3,5,16
28,63,12,75,5,5
19,88,30,45,5,9
33,53,74,22,7,15
20,62,93,91,7,4
29,63,58,4,6,1
33,77,95,5,5,12
27,84,29,53,5,8
30,83,66,8,5,8
23,80,60,19,4,26
42,33,39,22,4,4
32,76,98,7,7,2
44,37,31,64,7,29
43,90,40,42,6,21
36,50,18,65,6,3
18,73,3,0,4,17
34,99,73,65,5,13
33,90,70,97,4,5
27,35,46,57,4,12
36,32,34,18,6,11
22,74,41,98,6,21
26,38,12,10,5,13
31,92,41,49,4,6
42,79,27,67,7,1
29,41,14,49,5,18
17,34,78,17,6,0
17,43,98,24,5,21
30,70,19,89,5,13
34,68,38,21,5,17
22,89,31,3,4,19
30,57,83,26,6,1
24,57,88,9,4,11
15,79,32,8,4,17
16,69,64,96,6,5
35,74,79,41,5,4
22,84,82,43,6,29
23,73,89,79,7,3
36,66,12,16,6,0
18,36,94,44,6,22
17,96,8,43,5,8
38,83,68,16,6,17
26,81,45,92,6,22
38,83,54,51,6,5
17,81,43,22,5,8
29,54,57,33,7,28
41,34,13,85,4,13
23,76,98,43,6,1
28,98,65,86,5,26
42,50,84,53,6,8
44,37,69,89,7,19
37,36,43,87,7,29
39,95,89,28,5,21
41,44,92,28,7,14
43,89,73,89,4,12
42,77,10,20,6,16
36,63,22,17,6,12
18,66,19,66,5,25
37,40,91,40,6,24
20,52,93,1,6,19
35,67,36,53,5,11
43,87,54,51,6,9
39,72,16,96,6,24
16,42,53,28,4,7
28,45,17,6,5,3
21,69,63,30,5,8
39,45,49,26,7,24
24,63,30,54,7,21
33,79,95,35,5,6
19,77,7,48,5,3
24,55,73,70,5,14
15,36,59,90,6,16
38,98,26,30,4,18
28,32,83,62,7,21
34,79,88,52,7,22
39,38,74,43,6,5
31,95,8,22,7,18
28,66,19,16,7,8
32,72,34,6,6,22
35,55,56,13,5,13
18,91,13,16,5,28
17,48,2,12,7,26
22,80,12,13,6,3
19,71,73,1,4,13
15,52,55,99,4,19
27,35,31,24,6,11
33,95,50,15,6,15
35,38,6,91,7,8
16,70,26,62,6,29
28,74,20,13,6,22
35,96,38,41,5,24
25,80,82,81,7,17
39,69,25,13,7,21
31,64,33,38,4,6
31,31,10,9,7,2
29,46,26,18,7,11
32,68,27,6,6,16
24,67,96,54,7,12
41,55,42,80,7,28
22,30,92,26,5,11
21,43,69,1,7,12
17,91,64,53,5,24
39,87,54,70,4,27
26,86,83,6,5,3
29,67,56,5,6,29
40,99,57,72,6,6
26,90,46,91,4,2
35,63,26,62,5,8
31,83,36,71,5,7
31,66,5,35,6,7
42,45,86,39,7,20
37,85,48,54,6,8
29,67,99,98,7,15
15,32,15,92,4,16
17,86,21,62,5,23
28,35,25,68,4,23
20,94,30,17,4,3
23,47,89,51,4,16
28,75,29,6,6,21
